Id,Date,Total Purchase,Location,Day of the Month,Week of the Month,Day of the Week,Month,Year
1,8/4/2026,$1.98,Panera,04,1,Tuesday,August,2026
2,8/4/2026,$2.20,Taco Bell,04,1,Tuesday,August,2026
3,8/2/2026,$9.65,Paris Baguette,02,1,Sunday,August,2026
4,8/1/2026,$7.76,Panera,01,1,Saturday,August,2026
5,7/29/2026,$9.17,Levy,29,5,Wednesday,July,2026
6,7/28/2026,$13.50,Potbelly,28,4,Tuesday,July,2026
7,7/28/2026,$14.63,Chipotle,28,4,Tuesday,July,2026
8,7/28/2026,$3.63,Wawa,28,4,Tuesday,July,2026
9,7/28/2026,$9.23,Merriweather Post Pavilion,28,4,Tuesday,July,2026
10,7/27/2026,$7.50,Panera,27,4,Monday,July,2026
11,7/26/2026,$5.98,Costco,26,4,Sunday,July,2026
12,7/25/2026,$15.34,Panera,25,4,Saturday,July,2026
13,7/24/2026,$1.30,Panera,24,4,Friday,July,2026
14,7/23/2026,$3.63,Wawa,23,4,Thursday,July,2026
15,7/23/2026,$33.55,Taco Bamba,23,4,Thursday,July,2026
16,7/22/2026,$12.30,The Human Bean,22,4,Wednesday,July,2026
17,7/22/2026,$48.95,Pupatella,22,4,Wednesday,July,2026
18,7/22/2026,$20.24,Rice Culture,22,4,Wednesday,July,2026
19,7/22/2026,$3.13,Starbucks,22,4,Wednesday,July,2026
20,7/18/2026,$18.33,Panera,18,3,Saturday,July,2026
21,7/17/2026,$10.55,Costco,17,3,Friday,July,2026
22,7/17/2026,$35.71,Shake Shake,17,3,Friday,July,2026
23,7/16/2026,$3.30,Panera,16,3,Thursday,July,2026
24,7/15/2026,$4.23,Panera,15,3,Wednesday,July,2026
25,7/14/2026,$10.58,Panera,14,2,Tuesday,July,2026
26,7/12/2026,$16.43,Anitas,12,2,Sunday,July,2026
27,7/12/2026,$9.88,Wawa,12,2,Sunday,July,2026
28,7/11/2026,$18.42,Anitas,11,2,Saturday,July,2026
29,7/10/2026,$6.81,Chick-Fil-A,10,2,Friday,July,2026
30,7/10/2026,$32.13,Panera,10,2,Friday,July,2026
31,7/8/2026,$11.66,Chick-Fil-A,08,2,Wednesday,July,2026
32,7/7/2026,$7.50,Panera,07,1,Tuesday,July,2026
33,7/6/2026,$3.02,Panera,06,1,Monday,July,2026
34,7/5/2026,$10.55,Costco,05,1,Sunday,July,2026
35,7/3/2026,$27.00,Waffle House,03,1,Friday,July,2026
36,7/3/2026,$26.15,Aramark,03,1,Friday,July,2026
37,7/3/2026,$8.41,Bantam Coffee,03,1,Friday,July,2026
