,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SUM of Total Purchase,Day of the Week,,,,,,,
Month,Wednesday,Tuesday,Thursday,Sunday,Saturday,Monday,Friday,
September,$15.18,$7.41,$58.41,$118.80,$76.19,$2.62,$25.75,
October,$98.27,$1.89,,$30.43,$68.88,$19.39,$54.92,
November,$30.00,$14.65,$8.94,$72.23,$36.52,,$103.54,
May,$107.27,$22.41,$117.62,$237.93,$231.13,$77.34,$158.04,
March,$17.35,$55.85,$57.87,$212.31,$128.03,$34.97,$134.23,
June,$81.85,$102.87,$164.19,$72.40,$166.39,$92.92,$162.59,
July,$137.96,$71.79,$88.64,$72.82,$164.64,$66.19,$235.90,
January,$26.34,$55.36,$96.69,$152.14,$128.53,,$89.62,
February,$125.29,$50.08,$21.71,$132.57,$429.17,$16.37,$72.84,
December,$8.86,$17.83,,$105.41,$79.92,$27.71,$18.13,
August,$38.47,$31.36,$76.52,$47.58,$107.39,,$19.82,
April,$86.06,$107.94,$56.07,$281.77,$126.81,$3.52,$65.42,
,,,,,,,,$0.00
