,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2025,,,,2026
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SUM of Total Purchase 2025,Day of Week,,,,,,,,,,,,,,,
Month,Wednesday,Tuesday,Thursday,Sunday,Saturday,Monday,Friday,,,,,,,,,
September,$15.18,$7.41,$58.41,$118.80,$76.19,$2.62,$25.75,,,,,,,,,
October,$98.27,$1.89,,$30.43,$68.88,$19.39,$54.92,,,,,,,,,
November,$30.00,$14.65,$8.94,$72.23,$36.52,,$103.54,,,,,,,,,
May,$9.82,$14.36,$104.27,$114.02,$170.87,$22.25,$34.88,,,,,,,,,
March,$9.88,$9.77,$24.48,$87.67,$94.40,$16.31,$62.82,,,,,,,,,
June,$23.11,$22.04,$95.54,$70.81,$18.85,$27.62,$110.43,,,,,,,,,
July,$14.85,$12.72,$36.82,$29.98,$112.55,$55.67,$58.75,,,,,,,,,
January,,$45.87,$54.40,$98.58,$29.16,,$77.53,,,,,,,,,
February,$50.99,$38.73,$6.36,$43.57,$379.66,,$23.37,,,,,,,,,
December,$8.86,$7.25,,$105.41,$79.92,$27.71,$18.13,,,,,,,,,
August,$38.47,$27.18,$76.52,$37.93,$99.63,,$19.82,,,,,,,,,
April,$47.96,$67.09,$21.95,$140.81,$90.08,,$34.47,,,,,,,,,
,,,,,,,,$0.00,,,,,,,,
